ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-309,2003,9,1,190,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.24,0.28,0.04,0.28
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-188,1994,15,15,1264,14,1,0,1,0,0,5,0,0.07,0,0.07,0.07,0.07,1.1,1.1,0.1,1.1,0.08,0,0.08,0.08,0.08
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-078,1999,15,12,1034,11.5,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-276,1997,7,0,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.13,0.04,0.17,0.13,0.17
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-219,1993,11,8,688,7.6,0,0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.4,0.9,0.06,0.05,0.11,0.06,0.11
6,George Acosta,us USA,MF,Inter Miami,22-163,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.92,0,0.92,0.92,0.92
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-342,1995,17,14,1282,14.2,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.8,0.8,1.1,1.8,0.05,0.08,0.13,0.05,0.13
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-031,1994,17,15,1356,15.1,6,5,4,2,3,3,0,0.4,0.33,0.73,0.27,0.6,6.1,3.8,6.2,10,0.41,0.41,0.82,0.25,0.67
9,Mo Adams,eng ENG,MF,Inter Miami,25-281,1996,8,5,354,3.9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Samuel Adeniran,us USA,FWMF,Seattle,23-274,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-342,1986,8,3,345,3.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
12,Oskar Ågren,se SWE,DF,San Jose,23-294,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,22-364,1999,5,1,125,1.4,0,1,0,0,0,0,0,0,0.72,0.72,0,0.72,0.2,0.2,0.7,0.8,0.14,0.47,0.61,0.14,0.61
14,Ali Ahmed,ca CAN,DF,Vancouver,21-264,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
15,Arnaud Ake,ci CIV,FW,Nashville,24-091,1998,16,0,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.7,0.7,0.5,1.2,0.24,0.16,0.4,0.24,0.4
16,Tesho Akindele,ca CAN,FW,Orlando City,30-092,1992,12,1,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.1,0.15,0.24,0.1,0.24
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-162,2000,9,5,460,5.1,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,1.2,1.2,0.5,1.7,0.23,0.11,0.34,0.23,0.34
18,Jordy Alcivar,ec ECU,MF,Charlotte FC,22-330,1999,14,10,871,9.7,1,1,1,0,0,4,0,0.1,0.1,0.21,0.1,0.21,0.8,0.8,1.6,2.4,0.08,0.17,0.25,0.08,0.25
19,Caio Alexandre,br BRA,MF,Vancouver,23-127,1999,2,0,61,0.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0.02,0.13,0.11,0.13
20,Tony Alfaro,us USA,DF,D.C. United,29-016,1993,7,3,285,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Noah Allen,us USA,DFMF,Inter Miami,18-064,2004,7,3,316,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
22,Thiago Almada,ar ARG,FWMF,Atlanta Utd,21-066,2001,11,9,888,9.9,3,2,3,0,0,2,1,0.3,0.2,0.51,0.3,0.51,2.4,2.4,2.5,4.9,0.24,0.26,0.5,0.24,0.5
23,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-232,1985,4,4,331,3.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
24,Jozy Altidore,us USA,FW,New England,32-237,1989,14,3,492,5.5,1,0,1,0,0,1,0,0.18,0,0.18,0.18,0.18,1.6,1.6,0.4,2,0.29,0.08,0.37,0.29,0.37
25,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,20-012,2002,15,8,897,10,2,1,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3,2.5,2.5,2.1,4.6,0.25,0.21,0.46,0.25,0.46
26,Luis Amarilla,py PAR,FW,Minnesota Utd,26-310,1995,16,11,964,10.7,3,0,3,0,0,2,0,0.28,0,0.28,0.28,0.28,3.3,3.3,0.8,4.1,0.31,0.08,0.39,0.31,0.39
27,Frankie Amaya,us USA,MF,NY Red Bulls,21-278,2000,16,16,1371,15.2,0,2,0,0,0,3,1,0,0.13,0.13,0,0.13,0.3,0.3,1.5,1.9,0.02,0.1,0.12,0.02,0.12
28,Mikey Ambrose,us USA,DF,Atlanta Utd,28-269,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
29,Malte Amundsen,dk DEN,DF,NYCFC,24-140,1998,13,10,952,10.6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.9,2.3,0.04,0.18,0.22,0.04,0.22
30,Max Anchor,ca CAN,GK,Vancouver,17-345,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-327,2002,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-328,1994,16,16,1407,15.6,0,1,0,0,0,8,1,0,0.06,0.06,0,0.06,0.4,0.4,0.2,0.5,0.02,0.01,0.03,0.02,0.03
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-255,1988,2,1,85,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-029,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Brian Anunga,cm CMR,MF,Nashville,25-325,1996,13,6,516,5.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
36,Cristian Arango,co COL,FW,Los Angeles FC,27-114,1995,17,11,1063,11.8,6,1,5,1,1,3,0,0.51,0.08,0.59,0.42,0.51,6.5,5.8,1.7,7.4,0.55,0.14,0.7,0.49,0.63
37,César Araujo,uy URU,MF,Orlando City,21-090,2001,16,16,1299,14.4,0,0,0,0,0,4,1,0,0,0,0,0,0.6,0.6,0.2,0.8,0.04,0.01,0.05,0.04,0.05
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-322,2001,15,14,1250,13.9,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,1.2,1.2,1.9,3.1,0.08,0.14,0.22,0.08,0.22
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-029,1996,10,8,674,7.5,4,2,4,0,0,2,0,0.53,0.27,0.8,0.53,0.8,2.9,2.9,1.7,4.6,0.39,0.23,0.62,0.39,0.62
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-129,1995,17,10,943,10.5,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,2.6,2.6,0.9,3.5,0.24,0.09,0.33,0.24,0.33
41,Adam Armour,us USA,MF,Charlotte FC,19-277,2002,5,0,85,0.9,1,0,1,0,0,1,0,1.06,0,1.06,1.06,1.06,0.3,0.3,0.3,0.6,0.32,0.32,0.64,0.32,0.64
42,Xavier Arreaga,ec ECU,DF,Seattle,27-276,1994,13,13,1087,12.1,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-177,1998,14,14,1174,13,1,0,1,0,0,5,0,0.08,0,0.08,0.08,0.08,0.7,0.7,0.2,0.9,0.06,0.01,0.07,0.06,0.07
44,Paul Arriola,us USA,FW,FC Dallas,27-146,1995,16,15,1337,14.9,8,2,8,0,0,2,0,0.54,0.13,0.67,0.54,0.67,4.5,4.5,4.2,8.7,0.3,0.29,0.59,0.3,0.59
45,Artur,br BRA,MF,Columbus Crew,26-112,1996,13,13,1083,12,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0.5,1.5,0.08,0.04,0.12,0.08,0.12
46,Dairon Asprilla,co COL,FWMF,Portland Timbers,30-037,1992,15,9,859,9.5,2,0,1,1,1,3,0,0.21,0,0.21,0.1,0.1,2.6,1.9,0.5,2.3,0.27,0.05,0.32,0.19,0.24
47,Isaac Atanga,gh GHA,FW,FC Cincinnati,21-337,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.53,0.53,0,0.53
48,Joshua Atencio,us USA,MF,Seattle,20-151,2002,6,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.06,0.12,0.05,0.12
49,Roberto Avila,us USA,FWMF,Houston Dynamo,21-258,2000,6,2,156,1.7,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0,0.4,0.24,0,0.24,0.24,0.24
50,David Ayala,ar ARG,MF,Portland Timbers,19-340,2002,11,2,266,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.05,0.1,0.16,0.05,0.16
51,Edison Azcona,do DOM,MF,Inter Miami,18-222,2003,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Dominique Badji,sn SEN,FWDF,FC Cincinnati,29-258,1992,15,12,1012,11.2,0,2,0,0,0,3,0,0,0.18,0.18,0,0.18,2.7,2.7,1.1,3.8,0.24,0.1,0.33,0.24,0.33
53,Zico Bailey,us USA,DFMF,FC Cincinnati,21-308,2000,3,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Corey Baird,us USA,FWMF,Houston Dynamo,26-152,1996,13,8,676,7.5,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.9,0.9,1.7,2.6,0.13,0.23,0.35,0.13,0.35
55,Reed Baker-Whiting,us USA,MF,Seattle,17-092,2005,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0.01,0.2,0.19,0.2
56,Michael Baldisimo,ca CAN,MF,Vancouver,22-079,2000,9,3,311,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.08,0.1,0.02,0.1
57,Tom Barlow,us USA,FW,NY Red Bulls,26-358,1995,17,6,674,7.5,2,0,2,0,0,2,0,0.27,0,0.27,0.27,0.27,4.1,4.1,0.2,4.3,0.54,0.03,0.58,0.54,0.58
58,Álvaro Barreal,ar ARG,FWDF,FC Cincinnati,21-318,2000,15,9,815,9.1,2,0,2,0,0,1,0,0.22,0,0.22,0.22,0.22,0.9,0.9,1.2,2.1,0.1,0.13,0.23,0.1,0.23
59,Michael Barrios,co COL,FW,Colorado Rapids,31-071,1991,16,9,906,10.1,1,3,1,0,0,1,0,0.1,0.3,0.4,0.1,0.4,1.8,1.8,3.4,5.3,0.18,0.34,0.52,0.18,0.52
60,Ethan Bartlow,us USA,DFMF,Houston Dynamo,22-149,2000,8,5,519,5.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03
61,Zorhan Bassong,ca CAN,DF,CF Montréal,23-055,1999,9,1,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.05,0.18,0.22,0.05,0.22
62,Tanner Beason,us USA,DF,San Jose,25-100,1997,11,9,829,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.02,0.02,0,0.02
63,Alejandro Bedoya,us USA,MF,Philadelphia,35-063,1987,16,16,1432,15.9,3,2,3,0,0,3,0,0.19,0.13,0.31,0.19,0.31,1.6,1.6,3.8,5.4,0.1,0.24,0.34,0.1,0.34
64,Steven Beitashour,ir IRN,DF,Colorado Rapids,35-150,1987,9,6,606,6.7,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
65,Jon Bell,us USA,DF,New England,24-309,1997,7,5,494,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Ben Bender,us USA,MF,Charlotte FC,21-116,2001,16,12,1081,12,3,3,3,0,0,0,0,0.25,0.25,0.5,0.25,0.5,2.3,2.3,1.7,4,0.2,0.14,0.33,0.2,0.33
67,Sebastian Berhalter,us USA,MF,Vancouver,21-045,2001,12,9,805,8.9,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.02,0.02,0.05,0.02,0.05
68,Miguel Berry,es ESP,FW,Columbus Crew,24-288,1997,16,13,970,10.8,2,0,2,0,0,0,0,0.19,0,0.19,0.19,0.19,2.6,2.6,0.7,3.3,0.24,0.06,0.3,0.24,0.3
69,Nick Besler,us USA,MFDF,Real Salt Lake,29-055,1993,6,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.14,0.14,0,0.14
70,Victor Bezerra,us USA,FW,Chicago Fire,22-146,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.82,0.82,0,0.82
71,David Bingham,us USA,GK,Portland Timbers,32-255,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Steve Birnbaum,us USA,DF,D.C. United,31-159,1991,15,15,1350,15,0,0,0,0,0,2,0,0,0,0,0,0,0.9,0.9,0.8,1.7,0.06,0.05,0.11,0.06,0.11
73,Tyler Blackett,eng ENG,DF,FC Cincinnati,28-090,1994,13,11,1028,11.4,0,1,0,0,0,5,0,0,0.09,0.09,0,0.09,0.2,0.2,0.6,0.8,0.02,0.05,0.07,0.02,0.07
74,Tristan Blackmon,us USA,DF,Vancouver,25-323,1996,11,9,797,8.9,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,1,1,0,1,0.11,0,0.12,0.11,0.12
75,Andre Blake,jm JAM,GK,Philadelphia,31-222,1990,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34-108,1988,17,8,849,9.4,3,5,2,1,1,4,0,0.32,0.53,0.85,0.21,0.74,2.6,1.8,3.9,5.7,0.27,0.42,0.69,0.19,0.61
77,Latif Blessing,gh GHA,MF,Los Angeles FC,25-183,1996,15,8,700,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.9,1.7,0.1,0.11,0.21,0.1,0.21
78,Emmanuel Boateng,gh GHA,FWMF,New England,28-165,1994,13,5,513,5.7,2,1,2,0,0,1,0,0.35,0.18,0.53,0.35,0.53,1,1,1.3,2.3,0.18,0.23,0.41,0.18,0.41
79,Blake Bodily,us USA,DFFW,Portland Timbers,24-169,1998,3,0,15,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Jonathan Bond,eng ENG,GK,LA Galaxy,29-043,1993,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Pablo Bonilla,ve VEN,DF,Portland Timbers,22-211,1999,6,3,252,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
82,Alex Bono,us USA,GK,Toronto FC,28-067,1994,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01
83,Jonathan Bornstein,us USA,DFFW,Chicago Fire,37-236,1984,11,5,517,5.7,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09
84,Dylan Borrero,co COL,FW,New England,20-177,2002,6,4,356,4,1,1,1,0,0,1,0,0.25,0.25,0.51,0.25,0.51,0.8,0.8,1.2,2,0.21,0.29,0.5,0.21,0.5
85,Gustavo Bou,ar ARG,FW,New England,32-133,1990,8,7,662,7.4,3,1,2,1,1,2,0,0.41,0.14,0.54,0.27,0.41,3.1,2.4,1.1,3.5,0.43,0.15,0.58,0.32,0.48
86,Ousseni Bouda,bf BFA,FW,San Jose,22-064,2000,7,0,104,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.24,0.04,0.28,0.24,0.28
87,Michael Boxall,nz NZL,DF,Minnesota Utd,33-317,1988,15,15,1350,15,0,0,0,0,0,6,0,0,0,0,0,0,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02
88,Michael Bradley,us USA,MF,Toronto FC,34-335,1987,17,17,1519,16.9,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,1,1.4,0.02,0.06,0.08,0.02,0.08
89,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23-183,1998,10,2,331,3.7,2,2,2,0,0,0,0,0.54,0.54,1.09,0.54,1.09,1,1,1.3,2.2,0.26,0.34,0.6,0.26,0.6
90,Claudio Bravo,ar ARG,DF,Portland Timbers,25-110,1997,11,11,961,10.7,0,0,0,0,0,6,1,0,0,0,0,0,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06
91,Brenner,br BRA,FW,FC Cincinnati,22-166,2000,12,6,645,7.2,4,2,4,0,0,2,0,0.56,0.28,0.84,0.56,0.84,4.4,4.4,1.2,5.6,0.61,0.17,0.78,0.61,0.78
92,Sebastian Breza,ca CAN,GK,CF Montréal,24-108,1998,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Emiliano Brienza,ca CAN,FW,Vancouver,20-053,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,0,2,2,2
94,Andrew Brody,us USA,DF,Real Salt Lake,27-059,1995,17,16,1463,16.3,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,0.1,0.1,1.8,1.9,0.01,0.11,0.12,0.01,0.12
95,Brandt Bronico,us USA,MF,Charlotte FC,27-011,1995,17,16,1409,15.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
96,Javain Brown,jm JAM,DF,Vancouver,23-114,1999,15,11,1071,11.9,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.7,1,0.03,0.06,0.09,0.03,0.09
97,Will Bruin,us USA,FW,Seattle,32-250,1989,11,5,390,4.3,2,0,2,0,0,1,0,0.46,0,0.46,0.46,0.46,1.1,1.1,0.3,1.5,0.26,0.08,0.34,0.26,0.34
98,Adam Buksa,pl POL,FW,New England,25-354,1996,10,9,815,9.1,7,2,7,0,0,3,1,0.77,0.22,0.99,0.77,0.99,3.7,3.7,0.3,4,0.41,0.04,0.44,0.41,0.44
99,Teal Bunbury,us USA,FW,Nashville,32-124,1990,4,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.25,0.01,0.25,0.25,0.25
100,Nkosi Burgess,us USA,DF,FC Dallas,25-111,1997,12,6,627,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.03,0.03,0.01,0.03
101,Cory Burke,jm JAM,FW,Philadelphia,30-185,1991,16,4,620,6.9,3,0,3,0,0,4,0,0.44,0,0.44,0.44,0.44,3.2,3.2,1.1,4.3,0.47,0.16,0.63,0.47,0.63
102,Handwalla Bwana,so SOM,FW,Nashville,25-006,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.18
103,Brandon Bye,us USA,DF,New England,26-214,1995,13,13,1170,13,2,4,2,0,0,2,0,0.15,0.31,0.46,0.15,0.46,1.3,1.3,2.6,3.9,0.1,0.2,0.3,0.1,0.3
104,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22-356,1999,16,13,873,9.7,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2.2,4.1,0.2,0.22,0.42,0.2,0.42
105,Deiber Caicedo,co COL,FWMF,Vancouver,22-098,2000,16,12,985,10.9,1,2,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,1.4,1.4,2.7,4.1,0.13,0.24,0.37,0.13,0.37
106,Scott Caldwell,us USA,MF,Real Salt Lake,31-108,1991,15,10,892,9.9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
107,Drake Callender,us USA,GK,Inter Miami,24-267,1997,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Alexander Callens,pe PER,DF,NYCFC,30-058,1992,16,16,1440,16,3,0,3,0,0,5,0,0.19,0,0.19,0.19,0.19,1.7,1.7,0,1.7,0.11,0,0.11,0.11,0.11
109,Francisco Calvo,cr CRC,DF,San Jose,29-358,1992,13,13,1170,13,2,0,2,0,0,4,0,0.15,0,0.15,0.15,0.15,1.6,1.6,0.2,1.8,0.12,0.02,0.14,0.12,0.14
110,Rudy Camacho,fr FRA,DF,CF Montréal,31-118,1991,15,15,1350,15,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0.4,0.6,0.02,0.02,0.04,0.02,0.04
111,Geoff Cameron,us USA,DF,FC Cincinnati,36-355,1985,11,10,875,9.7,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06
112,Leonardo Campana,ec ECU,FW,Inter Miami,21-342,2000,16,14,1069,11.9,7,1,7,0,0,0,0,0.59,0.08,0.67,0.59,0.67,5.5,5.5,1.7,7.2,0.46,0.14,0.61,0.46,0.61
113,George Campbell,us USA,DF,Atlanta Utd,21-009,2001,12,9,890,9.9,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09
114,Russell Canouse,us USA,MF,D.C. United,27-020,1995,11,10,858,9.5,1,1,1,0,0,3,0,0.1,0.1,0.21,0.1,0.21,0.4,0.4,0.7,1.2,0.05,0.08,0.12,0.05,0.12
