ID,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG2,xA3,xG+xA,npxG4,npxG+xA5
228,Pedro Gallese,pe PER,GK,Orlando City,32-128,1990,16,16,1440,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-169,2003,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Chase Gasper,us USA,DF,LA Galaxy,26-157,1996,5,1,174,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Ryan Gauld,sct SCO,MF,Vancouver,26-197,1995,12,10,865,9.6,2,0,0,2,2,0,0,0.21,0,0.21,0,0,3.4,1.9,0.9,2.9,0.36,0.1,0.46,0.2,0.3
232,Dániel Gazdag,hu HUN,MF,Philadelphia,26-121,1996,17,17,1488,16.5,7,2,6,1,1,3,0,0.42,0.12,0.54,0.36,0.48,7.9,7.1,1.9,9,0.48,0.12,0.59,0.43,0.55
233,Kieran Gibbs,eng ENG,DF,Inter Miami,32-278,1989,5,3,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.17,0.06,0.23,0.17,0.23
234,Carles Gil,es ESP,MF,New England,29-221,1992,17,16,1471,16.3,4,6,1,3,3,1,0,0.24,0.37,0.61,0.06,0.43,4,1.8,4.7,6.4,0.25,0.28,0.53,0.11,0.39
235,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-139,1993,14,14,1214,13.5,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.02,0.01,0.03,0.02,0.03
236,Gastón Giménez,py PAR,MF,Chicago Fire,30-339,1991,16,15,1332,14.8,0,2,0,0,0,4,0,0,0.14,0.14,0,0.14,1.1,1.1,0.9,2,0.07,0.06,0.13,0.07,0.13
237,Francisco Ginella,uy URU,MF,Los Angeles FC,23-161,1999,13,4,347,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04
238,Justen Glad,us USA,DF,Real Salt Lake,25-123,1997,13,13,1142,12.7,3,0,3,0,0,2,0,0.24,0,0.24,0.24,0.24,1.7,1.7,0.2,1.9,0.13,0.02,0.15,0.13,0.15
239,Jakob Glesnes,no NOR,DF,Philadelphia,28-098,1994,17,17,1530,17,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.3,0.4,0.01,0.02,0.03,0.01,0.03
240,Chris Gloster,us USA,DF,NYCFC,21-338,2000,10,6,475,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,0.3,0.3,1.4,1.7,0.05,0.26,0.31,0.05,0.31
241,Marcus Godinho,ca CAN,DF,Vancouver,25-003,1997,11,7,553,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.03,0.03,0.05,0.03,0.05
242,Aníbal Godoy,pa PAN,MF,Nashville,32-141,1990,12,8,679,7.5,1,1,1,0,0,4,0,0.13,0.13,0.27,0.13,0.27,0.6,0.6,0.3,0.9,0.08,0.04,0.12,0.08,0.12
243,Erik Godoy,ar ARG,DF,Vancouver,28-319,1993,5,4,391,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
244,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-045,1994,13,6,600,6.7,0,2,0,0,0,1,0,0,0.3,0.3,0,0.3,0.5,0.5,1.2,1.7,0.08,0.18,0.26,0.08,0.26
245,Yeimar Gómez Andrade,co COL,DF,Seattle,30-001,1992,10,8,711,7.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
246,Omar Gonzalez,us USA,DF,New England,33-263,1988,10,7,627,7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
247,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25-321,1996,16,9,750,8.3,0,3,0,0,0,1,0,0,0.36,0.36,0,0.36,2.9,2.9,2.5,5.4,0.35,0.3,0.65,0.35,0.65
248,Tayvon Gray,us USA,DF,NYCFC,19-316,2002,11,9,743,8.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.02,0.06,0.07,0.02,0.07
249,Gregore,br BRA,MF,Inter Miami,28-121,1994,14,14,1260,14,0,0,0,0,0,8,0,0,0,0,0,0,0.2,0.2,0.5,0.8,0.02,0.04,0.05,0.02,0.05
250,Ján Greguš,sk SVK,MF,San Jose,31-153,1991,15,12,1127,12.5,0,5,0,0,0,0,0,0,0.4,0.4,0,0.4,0.5,0.5,2.2,2.7,0.04,0.17,0.22,0.04,0.22
251,Julian Gressel,de GER,DF,D.C. United,28-197,1993,15,14,1201,13.3,0,3,0,0,0,2,0,0,0.22,0.22,0,0.22,2.3,2.3,2.7,5,0.17,0.2,0.38,0.17,0.38
252,Sami Guediri,us USA,DF,D.C. United,24-317,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
253,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-014,2003,16,8,693,7.7,0,2,0,0,0,2,1,0,0.26,0.26,0,0.26,0.9,0.9,1.5,2.3,0.11,0.19,0.3,0.11,0.3
254,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-133,1997,11,6,616,6.8,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0.8,1.1,0.04,0.12,0.16,0.04,0.16
255,Diego Gutierrez,us USA,FW,Portland Timbers,23-177,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Andrew Gutman,us USA,DF,Atlanta Utd,25-272,1996,12,12,996,11.1,0,0,0,0,0,3,0,0,0,0,0,0,1.6,1.6,0.4,2,0.14,0.04,0.18,0.14,0.18
257,Brad Guzan,us USA,GK,Atlanta Utd,37-295,1984,7,7,612,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Justin Haak,us USA,MF,NYCFC,20-292,2001,1,0,67,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Luke Haakenson,us USA,MF,Nashville,24-294,1997,10,4,326,3.6,0,2,0,0,0,3,0,0,0.55,0.55,0,0.55,0.8,0.8,0.7,1.6,0.23,0.2,0.43,0.23,0.43
260,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-287,1995,13,12,1062,11.8,1,0,1,0,0,9,1,0.08,0,0.08,0.08,0.08,0.6,0.6,0.5,1.2,0.05,0.05,0.1,0.05,0.1
261,Nick Hagglund,us USA,DF,FC Cincinnati,29-290,1992,15,15,1289,14.3,0,1,0,0,0,3,1,0,0.07,0.07,0,0.07,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09
262,Marlon Hairston,us USA,DF,Columbus Crew,28-100,1994,1,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
263,Siad Haji,so SOM,DFFW,San Jose,22-212,1999,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.89,0.89,0,0.89
264,Michael Halliday,us USA,MFDF,Orlando City,19-160,2003,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Ahmed Hamdi,eg EGY,MFFW,CF Montréal,24-141,1998,8,3,321,3.6,0,1,0,0,0,2,0,0,0.28,0.28,0,0.28,0.4,0.4,0.6,1,0.1,0.17,0.27,0.1,0.27
266,Bill Hamid,us USA,GK,D.C. United,31-218,1990,10,10,858,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Niko Hansen,dk DEN,FW,Minnesota Utd,27-290,1994,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.3,0,0.3,0.3,0.3
268,Cameron Harper,us USA,DFFW,NY Red Bulls,20-224,2001,6,1,224,2.5,1,1,1,0,0,2,0,0.4,0.4,0.8,0.4,0.8,0.2,0.2,0.7,0.9,0.09,0.28,0.37,0.09,0.37
269,Nathan Harriel,us USA,DF,Philadelphia,21-069,2001,16,15,1326,14.7,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.05,0.03,0.05
270,Calvin Harris,eng ENG,FW,FC Cincinnati,22-103,2000,6,2,163,1.8,1,1,1,0,0,1,0,0.55,0.55,1.1,0.55,1.1,1.4,1.4,0.7,2.1,0.79,0.39,1.18,0.79,1.18
271,Thomas Hasal,ca CAN,GK,Vancouver,22-357,1999,9,9,789,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Jacori Hayes,us USA,MFFW,Minnesota Utd,27-002,1995,4,0,27,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.32,0.32,0,0.32
273,Héber,br BRA,FW,NYCFC,30-325,1991,13,3,379,4.2,4,0,3,1,1,0,0,0.95,0,0.95,0.71,0.71,2,1.3,0.1,1.4,0.48,0.02,0.5,0.3,0.33
274,Matt Hedges,us USA,DF,FC Dallas,32-091,1990,14,14,1207,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.02,0,0.03,0.02,0.03
275,Chris Hegardt,us USA,FWMF,Charlotte FC,20-176,2002,3,0,19,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.86,0.86,0,0.86
276,Doneil Henry,ca CAN,DF,Los Angeles FC,29-072,1993,5,2,134,1.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Fabian Herbers,de GER,FWMF,Chicago Fire,28-318,1993,13,7,602,6.7,1,1,1,0,0,3,0,0.15,0.15,0.3,0.15,0.3,0.6,0.6,1.4,1.9,0.09,0.2,0.29,0.09,0.29
278,Felipe Hernandez,us USA,MF,Sporting KC,24-023,1998,18,11,1062,11.8,1,3,1,0,0,2,0,0.08,0.25,0.34,0.08,0.34,0.9,0.9,2,2.9,0.07,0.17,0.24,0.07,0.24
279,Javier Hernández,mx MEX,FW,LA Galaxy,34-030,1988,16,15,1308,14.5,6,0,6,0,1,3,0,0.41,0,0.41,0.41,0.41,7.7,6.9,0.7,7.7,0.53,0.05,0.58,0.48,0.53
280,Ronald Hernández,ve VEN,DF,Atlanta Utd,24-283,1997,7,5,367,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.06,0.06,0,0.06
281,Aaron Herrera,us USA,DF,Real Salt Lake,25-025,1997,11,9,853,9.5,0,0,0,0,0,4,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.02,0.04,0.06,0.02,0.06
282,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34-203,1987,11,5,531,5.9,2,1,0,2,2,2,0,0.34,0.17,0.51,0,0.17,1.9,0.4,2.5,2.9,0.32,0.42,0.75,0.07,0.49
283,Brendan Hines-Ike,us USA,DF,D.C. United,27-213,1994,14,14,1228,13.6,0,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.01,0.01,0.02,0.01,0.02
284,Bongokuhle Hlongwane,za RSA,FWMF,Minnesota Utd,22-011,2000,17,6,649,7.2,0,3,0,0,0,0,0,0,0.42,0.42,0,0.42,1.9,1.9,1.8,3.7,0.27,0.25,0.52,0.27,0.52
285,Danny Hoesen,nl NED,FWMF,Austin FC,31-167,1991,6,0,76,0.8,2,0,2,0,0,0,0,2.37,0,2.37,2.37,2.37,1.3,1.3,0,1.3,1.59,0,1.59,1.59,1.59
286,Ryan Hollingshead,us USA,DF,Los Angeles FC,31-076,1991,14,10,922,10.2,4,0,4,0,0,2,0,0.39,0,0.39,0.39,0.39,0.8,0.8,0.2,1,0.08,0.02,0.1,0.08,0.1
287,Erik Holt,us USA,DF,Real Salt Lake,25-298,1996,5,5,399,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.09,0,0.09,0.09,0.09
288,Jackson Hopkins,us USA,MFFW,D.C. United,18-000,2004,5,1,167,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.04,0.1,0.14,0.04,0.14
289,Adrien Hunou,fr FRA,FW,Minnesota Utd,28-163,1994,9,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.26,0.03,0.29,0.26,0.29
290,Erik Hurtado,us USA,FW,Columbus Crew,31-228,1990,5,2,202,2.2,3,0,3,0,0,1,0,1.34,0,1.34,1.34,1.34,1.6,1.6,0.2,1.8,0.72,0.07,0.79,0.72,0.79
291,Emerson Hyndman,us USA,MF,Atlanta Utd,26-083,1996,8,2,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
292,Franco Ibarra,ar ARG,MF,Atlanta Utd,21-064,2001,9,7,594,6.6,0,1,0,0,0,4,0,0,0.15,0.15,0,0.15,0.2,0.2,0.4,0.6,0.03,0.06,0.09,0.03,0.09
293,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30-161,1992,9,8,782,8.7,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0,0.3,0.02,0,0.03,0.02,0.03
294,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,19-273,2002,4,3,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.06,0.14,0.08,0.14
295,James Igbekeme,ng NGA,FWMF,Columbus Crew,26-362,1995,14,7,726,8.1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0.4,1.5,0.13,0.06,0.18,0.13,0.18
296,Tega Ikoba,us USA,FW,Portland Timbers,18-321,2003,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.48,0,0.48,0.48,0.48
297,Arnór Ingvi Traustason,is ISL,FWMF,New England,29-062,1993,10,4,329,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.7,1.3,0.17,0.19,0.37,0.17,0.37
298,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30-228,1991,13,11,971,10.8,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08
299,Aljaž Ivačič,si SVN,GK,Portland Timbers,28-184,1993,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,23-076,1999,11,11,762,8.5,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,1.3,1.3,0.9,2.2,0.16,0.1,0.26,0.16,0.26
301,Robin Jansson,se SWE,DF,Orlando City,30-228,1991,14,14,1250,13.9,1,1,1,0,0,10,1,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.2,0.7,0.03,0.02,0.05,0.03,0.05
302,Franco Jara,ar ARG,FW,FC Dallas,33-351,1988,15,2,378,4.2,2,1,1,1,1,0,0,0.48,0.24,0.71,0.24,0.48,4.3,3.5,0.5,4,1.01,0.12,1.13,0.83,0.95
303,Andres Jasson,us USA,DFFW,NYCFC,20-165,2002,8,2,245,2.7,0,1,0,0,0,1,0,0,0.37,0.37,0,0.37,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12
304,Cal Jennings,us USA,FW,Los Angeles FC,25-045,1997,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Hector Jiménez,us USA,DF,Austin FC,33-240,1988,10,5,441,4.9,0,2,0,0,0,2,0,0,0.41,0.41,0,0.41,0.1,0.1,1.7,1.8,0.02,0.34,0.36,0.02,0.36
306,Jesús Jiménez,es ESP,FW,Toronto FC,28-238,1993,17,17,1413,15.7,8,3,8,0,0,2,0,0.51,0.19,0.7,0.51,0.7,5.8,5.8,2.3,8.1,0.37,0.15,0.52,0.37,0.52
307,Sean Johnson,us USA,GK,NYCFC,33-031,1989,16,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Alistair Johnston,ca CAN,DF,CF Montréal,23-266,1998,17,16,1364,15.2,1,3,1,0,0,2,0,0.07,0.2,0.26,0.07,0.26,0.2,0.2,1.6,1.8,0.01,0.11,0.12,0.01,0.12
309,DeJuan Jones,us USA,DF,New England,25-007,1997,16,16,1422,15.8,1,3,1,0,0,3,0,0.06,0.19,0.25,0.06,0.25,0.6,0.6,1.6,2.2,0.04,0.1,0.14,0.04,0.14
310,Derrick Jones,us USA,MF,Charlotte FC,25-120,1997,5,2,162,1.8,1,0,1,0,0,0,0,0.56,0,0.56,0.56,0.56,0.9,0.9,0,0.9,0.52,0,0.52,0.52,0.52
311,Joevin Jones,tt TRI,DFFW,Inter Miami,30-332,1991,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Jony,ar ARG,FW,Real Salt Lake,28-118,1994,4,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.27,0,0.27,0.27,0.27
313,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,22-328,1999,14,1,316,3.5,5,2,5,0,0,3,0,1.42,0.57,1.99,1.42,1.99,2.8,2.8,2.2,5,0.79,0.63,1.41,0.79,1.41
314,Kamil Jóźwiak,pl POL,MFFW,Charlotte FC,24-070,1998,5,2,181,2,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.09,0.09,0.18,0.09,0.18
315,Judson,br BRA,MF,San Jose,29-037,1993,6,1,149,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
316,Anderson Julio,ec ECU,FW,Real Salt Lake,26-031,1996,4,0,60,0.7,0,1,0,0,0,0,0,0,1.5,1.5,0,1.5,0,0,0.1,0.1,0.05,0.09,0.14,0.05,0.14
317,Florian Jungwirth,de GER,DFMF,Vancouver,33-155,1989,10,8,677,7.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Sam Junqua,us USA,DF,Houston Dynamo,25-234,1996,5,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
319,Chris Kablan,ch SUI,MF,Real Salt Lake,27-213,1994,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Kristijan Kahlina,hr CRO,GK,Charlotte FC,29-342,1992,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Brent Kallman,us USA,DF,Minnesota Utd,31-270,1990,9,7,583,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.05,0.06,0.11,0.05,0.11
322,Kei Kamara,sl SLE,FW,CF Montréal,37-303,1984,16,7,851,9.5,3,5,3,0,0,0,0,0.32,0.53,0.85,0.32,0.85,3,3,1.4,4.4,0.31,0.15,0.47,0.31,0.47
323,Ola Kamara,no NOR,FW,D.C. United,32-259,1989,14,8,735,8.2,6,0,5,1,1,2,1,0.73,0,0.73,0.61,0.61,3.7,2.9,0.7,3.6,0.45,0.09,0.54,0.36,0.44
324,Alec Kann,us USA,GK,FC Cincinnati,31-327,1990,7,7,630,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Johan Kappelhof,nl NED,DF,Real Salt Lake,31-330,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08
326,Wilfrid Kaptoum,cm CMR,MF,New England,25-359,1996,10,7,476,5.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.2,0.03,0.01,0.03,0.03,0.03
327,Ercan Kara,at AUT,FW,Orlando City,26-179,1996,17,12,1004,11.2,6,2,6,0,0,1,0,0.54,0.18,0.72,0.54,0.72,5.9,5.9,1.2,7.1,0.53,0.11,0.64,0.53,0.64
328,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27-211,1994,16,14,1191,13.2,3,1,3,0,0,2,0,0.23,0.08,0.3,0.23,0.3,2.2,2.2,1.2,3.5,0.17,0.09,0.26,0.17,0.26
329,Kipp Keller,us USA,DF,Austin FC,21-352,2000,4,2,203,2.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
330,Jon Kempin,us USA,GK,D.C. United,29-084,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Deandre Kerr,ca CAN,MFFW,Toronto FC,19-224,2002,12,6,728,8.1,2,0,2,0,0,1,0,0.25,0,0.25,0.25,0.25,1.2,1.2,0.4,1.7,0.15,0.05,0.2,0.15,0.2
332,Henry Kessler,us USA,DF,New England,24-006,1998,7,6,540,6,0,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0,0.6,0.1,0,0.1,0.1,0.1
333,Benjamin Kikanovic,us USA,FWMF,San Jose,22-176,2000,12,3,384,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,0.13,0.01,0.14,0.13,0.14
334,Patryk Klimala,pl POL,FW,NY Red Bulls,23-330,1998,15,11,936,10.4,4,3,3,1,2,4,0,0.38,0.29,0.67,0.29,0.58,5.3,3.8,1.9,5.7,0.51,0.18,0.69,0.36,0.55
335,Sacha Kljestan,us USA,MF,LA Galaxy,36-295,1985,10,0,239,2.7,1,1,0,1,1,0,0,0.38,0.38,0.75,0,0.38,0.9,0.2,0.2,0.3,0.35,0.06,0.41,0.06,0.12
336,Brad Knighton,us USA,GK,New England,37-145,1985,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Žan Kolmanič,si SVN,DF,Austin FC,22-120,2000,14,9,798,8.9,0,2,0,0,0,1,0,0,0.23,0.23,0,0.23,0.1,0.1,1.5,1.7,0.01,0.17,0.19,0.01,0.19
338,Ismaël Koné,ca CAN,MF,CF Montréal,20-025,2002,13,9,811,9,1,2,1,0,0,5,0,0.11,0.22,0.33,0.11,0.33,0.5,0.5,0.9,1.4,0.06,0.1,0.16,0.06,0.16
339,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,33-076,1989,5,3,300,3.3,1,0,1,0,0,1,0,0.3,0,0.3,0.3,0.3,1.5,1.5,0.1,1.6,0.46,0.02,0.48,0.46,0.48
340,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,20-154,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Yuya Kubo,jp JPN,MF,FC Cincinnati,28-189,1993,11,8,700,7.8,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.06,0.1,0.16,0.06,0.16
342,Jojea Kwizera,cg CGO,DFMF,CF Montréal,23-181,1999,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.25,0.37,0.12,0.37
